ID,Fan_area,Fan_perimeter,Fan_length,Fan_width,Form_facto_fan,Altura_max,Altura_min,Fan_relief,Fan_slope,Pendiente_media_abanico,Fan_profile_curvature,Fan_planform_curvature,Fan_ruggednes,Fan_ volume,Tipo_Abanico,Tipo_asentamiento,Poblado,Cordillera,Main_stream_order,Number_streams,Stream_length,Main_stream_ length,Stream_length_ratio,Bifurcation_ratio,Ro_Coefficient,Length_catchmen,Catchment_area,Catchment_perimeter,Form_factor,Elongation_ratio,Circularity_ratio,Compactness_coefficien,Texture_ratio,Fitness_ratio,Wandering_ratio,Stream_frequency,Drainage_density,Constant_channel_Maintenance,Drainage_intensity,Infiltration_numbe,Torrentiality_coefficient,Length_overland_flow,Catchment_relief,Slope_ catchment_channel,Mean_basin_slope,Relief_ratio,Ruggedness_number,Melton_index,Unidad_geologica,Litologia,Subzona_hidrografica,Catchment
0,0.241,2.535,0.757,0.628,0.420,0.699,0.667,0.032,4.2,5.690,-0.022,-0.017,0.733,0.0254,Aluvial,Casas rurales dispersas,Si,Occidental,4,449,100.628,3.19,4.717,4.012,1.176,3.359,12.503,15.399,1.108,1.188,0.663,1.237,14.806,0.207,0.950,35.911,8.048,0.124,4.462,289.026,18.236,0.062,0.311,9.749,11.165,0.093,1.388,0.088,FormacionAmaga,Sedimentaria detritica,Rio Cauca,No torrential
1,0.160,2.156,0.789,0.398,0.256,0.693,0.654,0.039,4.9,6.261,-0.007,-0.019,0.790,0.0322,Aluvial,Sin asentamientos,No,Occidental,4,129,24.441,1.805,1.481,1.178,1.257,1.987,2.063,5.928,0.523,0.816,0.738,1.173,6.579,0.304,0.908,62.530,11.847,0.084,5.278,740.816,18.905,0.042,0.317,17.562,13.005,0.160,1.673,0.221,Formacion Amaga,Sedimentaria detritica,Rio Cauca,Torrential
2,0.165,2.611,1.084,0.204,0.140,0.649,0.615,0.034,3.1,6.547,0.015,0.022,0.871,0.0386,Aluvial,Sin asentamientos,No,Occidental,5,470,79.57,6.239,2.214,1.980,1.118,4.983,14.332,17.048,0.577,0.857,0.620,1.279,14.137,0.366,1.252,32.794,5.552,0.180,5.907,182.068,16.816,0.090,0.303,4.857,13.780,0.061,1.790,0.080,Formacion Amaga,Sedimentaria detritica,Rio Cauca,No torrential
3,4.150,9.706,3.199,2.222,0.406,1.153,0.698,0.455,14.2,10.466,-0.014,-0.009,1.237,1.5242,Vertiente,Casas rurales dispersas,Si,Occidental,4,119,11.307,4.693,1.148,1.766,0.650,3.75,4.228,10.375,0.301,0.619,0.494,1.433,6.265,0.452,1.251,28.146,2.674,0.374,10.524,75.270,15.374,0.187,0.643,13.701,11.383,0.171,6.767,0.313,Formacion Combia,Ignea Volcanica ,Rio Cauca,Torrential
4,3.001,9.167,3.280,1.821,0.279,1.151,0.654,0.497,15.2,10.989,-0.009,-0.007,1.294,1.7071,Vertiente,Sin asentamientos,No,Occidental,4,83,18.321,4.838,2.070,1.911,1.083,4.362,3.313,11.459,0.174,0.471,0.317,1.789,3.753,0.422,1.109,25.053,5.530,0.181,4.530,138.543,12.979,0.090,1.165,24.080,19.406,0.267,5.278,0.640,Formacion Combia,Ignea Volcanica ,Rio Cauca,Torrential
5,4.516,13.970,4.514,1.531,0.222,1.405,0.64,0.765,16.9,13.116,-0.019,-0.009,1.535,3.6165,Vertiente,Sin asentamientos,No,Occidental,3,46,8.555,3.028,1.778,1.686,1.054,2.784,2.019,7.526,0.260,0.576,0.448,1.505,3.322,0.402,1.088,22.784,4.237,0.236,5.377,96.540,12.382,0.118,0.901,29.756,23.872,0.324,4.845,0.634,Formacion Combia,Ignea Volcanica ,Rio Cauca,Torrential
6,25.129,26.067,6.930,7.329,0.523,1.587,1.58,0.007,0.1,10.074,-0.018,0.009,1.190,0.0508,Vertiente,Casas rurales dispersas,Si,Occidental,3,17,5.764,1.149,6.009,3.600,1.669,1.15,1.207,4.271,0.913,1.078,0.831,1.104,2.576,0.269,0.999,14.085,4.775,0.209,2.949,67.260,9.114,0.105,0.714,59.000,30.198,0.621,2.106,0.650,Formacion Combia,Ignea Volcanica ,Rio Cauca,Torrential
7,0.712,4.325,1.552,0.903,0.296,0.656,0.587,0.069,4.4,5.056,-0.007,0.002,0.653,0.1122,AluvioTorrencial,Sin asentamientos,No,Central,5,371,72.947,9.377,2.066,1.868,1.106,6.967,12.716,18.504,0.262,0.578,0.467,1.474,10.268,0.507,1.346,29.176,5.737,0.174,5.086,167.371,14.942,0.087,1.270,13.544,17.267,0.182,6.459,0.356,Formacion Amaga,Sedimentaria detritica,Rio Cauca,Torrential
8,0.783,4.256,1.194,1.389,0.549,1.942,1.662,0.28,23.4,12.028,-0.012,-0.003,1.394,0.3502,Vertiente,Casas rurales dispersas,Si,Occidental,2,5,1.37,0.784,3.551,1.500,2.368,0.669,0.387,2.434,0.865,1.049,0.821,1.112,1.233,0.322,1.172,12.920,3.540,0.282,3.650,45.737,7.752,0.141,0.371,47.321,27.929,0.555,1.354,0.596,Formacion Combia,Ignea Volcanica ,Rio Cauca,Torrential
9,1.351,5.073,1.741,0.886,0.446,1.905,1.637,0.268,15.4,11.320,0.678,-0.003,1.326,0.4886,Vertiente,Casas rurales dispersas,Si,Occidental,2,12,2.927,1.2843,1.746,1.400,1.247,1.215,0.947,3.799,0.642,0.904,0.825,1.109,1.843,0.338,1.057,12.672,3.091,0.324,4.100,39.166,7.392,0.162,0.456,35.506,28.727,0.375,1.869,0.469,Formacion Combia,Ignea Volcanica ,Rio Cauca,Torrential
